Name,Role,Highest Gold Storage Level,Stars in Campaign Map,Current Town Hall Level,Total Obstacles Removed,Unlock Dragon in the Barracks,Total Gold Looted,Total Elixir Looted,Trophy Record,Current Clan Castle Level,Total Wall Destroyed,Total Town Halls Destroyed,Total Builder's Huts Destroyed,Total Multiplayer Battles Won,Total Defenses Won,Total Capacity Donated,Total Mortars Destroyed,Total Dark Elixir Looted,League All-Star,Total X-Bows Destroyed,Total Inferno Towers Destroyed,Total Stars scored for clan in Clan War battles,Total gold collected in Clan War bonuses,Total Eagle Artilleries Destroyed,Total Spell Capacity Donated,Village Connected to Social Network,Current Builder Hall Level,Unlock Power P.E.K.K.A,Total Builder Halls destroyed,Builder Trophy record,Total buildings geared up,Rebuild Battle Machine,Total Clan Games points,Slay the Giant Dragon,Total Stars scored for the clan in Clan War League battles,Connect account to Supercell ID,Total Season Challenges points,Total Scattershots Destroyed,Weaponized Town Halls Destroyed,Total Weaponized Builder's Huts Destroyed,Total Times Super Troops boosted,Total Siege Machines Donated,Total Capital Gold Looted,Total Capital Gold Contributed,Total Spell Towers Destroyed,Total Monoliths Destroyed,Defeat M.O.M.M.A,Attack Wins in Season,Best Builder Base Trophies,Best Trophies,Builder Base League,Builder Base Trophies,Builder Hall Level,Clan Capital Contributions,Defense Wins,Donations,Donations Received,Experience Level,Trophies,War Stars
lightening bolt,member,13,189,12,4797,1,334427773,361513525,3251,8,4046,1396,4462,1739,1057,20259,1876,1781902,16,722,349,850,260082848,114,291,0,8,1,1286,3104,3,1,40550,0,156,0,36260,0,30,0,1,0,207175,299707,0,0,0,2,3104,3251,Iron League III,2795,8,299707,2,125,488,152,2859,850
K.S.A,member,14,182,13,5928,1,814436309,837376388,3128,9,33952,1577,7445,2252,520,13514,6144,7047295,15,3301,1634,239,343577212,610,71,0,9,1,3191,3792,3,1,12600,0,0,0,65700,54,238,18,18,0,851035,1090693,1,1,0,0,3792,3128,Steel League II,3498,9,1090693,0,0,90,174,2830,239
Venom0411,member,16,173,15,1518,1,328481402,348405107,3809,11,8562,393,3730,1105,404,14529,3482,2778835,18,1706,827,449,544877256,284,424,0,9,1,378,2876,3,1,39150,1,155,0,82380,342,102,660,115,273,451690,678007,103,25,0,0,2876,3809,Iron League III,2683,9,678007,0,0,0,164,2824,449
KR$NA,member,14,163,13,4332,1,1296786517,1293415144,3546,9,45223,1503,5190,1859,508,28404,3901,10737196,17,2076,936,542,523093916,297,1469,0,9,1,351,2860,3,1,49875,0,305,0,70830,72,582,22,101,190,228270,311331,0,0,0,0,2860,3546,Iron League III,2766,9,311331,0,0,0,165,2782,542
awesome anup,member,13,141,12,4175,1,577360631,665917594,3542,8,28094,1703,7363,2102,550,49321,6134,4432214,17,2209,736,1002,438987940,193,1255,0,9,1,1101,2818,3,1,33900,28,182,0,52870,0,35,0,8,0,53775,95919,0,0,0,26,2818,3542,Iron League III,2683,9,95919,1,395,2042,158,2679,1002
ViraG,member,15,186,14,8417,1,1407006373,1512053966,5092,10,34661,2998,13674,3562,838,150541,11410,12425960,22,6469,3225,1907,1213320996,1172,4713,0,9,1,1027,3213,3,1,77220,0,552,0,97480,681,738,252,54,395,639050,845148,17,6,0,0,3213,5092,Iron League I,3132,9,845148,0,0,0,209,2666,1907
karthicbhat,member,14,151,13,9681,1,559074118,555319790,2929,9,9349,1916,2681,2037,1454,39121,1249,2902260,14,633,257,225,252770543,87,188,0,9,1,4262,4936,3,1,55975,0,24,0,71670,3,108,1,0,0,36182,257617,0,0,0,2,4936,2929,Titanium League I,4244,9,257617,8,699,0,187,2621,225
LUCKYXKI:)0,member,13,150,12,1634,1,1127466048,1143567825,3892,8,39796,1829,6413,2274,269,16219,5321,8717873,18,2586,1296,376,419493054,399,288,0,9,1,1157,3462,3,1,30900,0,43,0,55230,49,444,6,89,0,770320,863115,0,0,0,1,3462,3892,Steel League III,3345,9,863115,0,0,0,164,2641,376
✖️❌seenu❌✖️,member,13,189,12,2204,1,298617414,315022919,2831,8,12402,626,2649,757,226,1257,2206,2781160,14,1399,686,238,217772311,306,140,0,8,1,2823,3084,2,1,91400,0,54,0,62940,7,50,5,0,1,1199545,1410954,0,0,0,5,3084,2831,Iron League II,2956,8,1410954,1,33,0,144,2546,238
Rajesh shenoy,member,13,180,12,1494,1,721043992,763142877,3145,8,11320,1047,6592,1821,117,9189,5574,5231357,15,2165,825,523,431463475,201,418,0,7,1,185,2134,2,1,65775,25,254,0,52090,3,23,0,0,0,10255,500,0,0,0,0,2134,3145,Brass League III,2101,7,500,0,0,0,137,2518,523
fappy,member,14,168,13,3415,1,964714801,1003627937,3331,9,30156,1973,9366,2729,727,62832,7776,6773317,16,2970,1308,864,584075563,476,2037,0,8,1,935,3026,3,1,34150,0,306,0,59230,52,189,0,10,46,290800,391179,0,0,0,0,3026,3331,Iron League II,2921,8,391179,0,0,0,178,2434,864
prashanth,member,13,65,12,3890,1,262990998,284030709,2559,8,4565,1021,3246,1327,565,4932,2553,1621223,12,844,293,735,285217963,54,19,0,5,1,84,1786,1,1,7300,0,234,0,27560,2,3,0,2,0,0,16600,0,0,0,0,1786,2559,Copper League III,1707,5,16600,0,0,70,138,2353,735
suhas belgur,member,14,65,13,1421,1,654888966,695481778,3248,9,11826,576,3958,1120,581,59413,2817,5483458,16,1628,1010,333,446735427,352,3430,0,7,1,135,1841,0,1,52050,3,299,0,55640,271,319,92,81,213,1260035,1524764,1,0,0,0,1841,3248,Copper League III,1754,7,1524764,0,0,0,146,2304,333
kushank,member,12,182,11,2509,1,262537675,294046942,2698,7,7322,865,3867,1199,274,308,2706,2281285,13,1213,473,19,90664178,145,0,0,7,1,384,2302,1,1,9650,0,0,0,17970,0,39,0,2,0,90040,145401,0,0,0,0,2302,2698,Brass League II,2211,7,145401,0,0,0,107,2297,19
...PK...,member,13,155,12,6025,1,401003076,430569996,3010,8,15481,1606,5793,1994,860,51197,4095,2607817,15,1199,519,1418,502070591,177,595,0,9,1,557,2955,3,1,10050,0,300,0,43350,0,39,0,10,2,350760,461885,0,0,0,0,2955,3010,Iron League II,2949,9,461885,0,0,218,164,2287,1418
rajath_targ,member,12,188,11,3092,1,477061254,473114739,2673,7,12978,1136,5199,1660,465,16888,4012,2413596,13,1054,264,359,186452226,22,328,0,6,1,509,2212,1,1,12825,3,118,0,24050,2,3,0,3,0,12120,21528,0,0,0,5,2212,2673,Brass League III,2069,6,21528,3,45,367,132,2238,359
MugilanAR,member,12,165,12,2696,1,794321334,821570208,3154,8,10026,1644,8118,2421,694,39322,5536,4094923,15,1804,441,843,300856789,119,574,0,7,1,935,2636,2,1,19340,0,62,0,23370,2,14,0,2,0,20115,90696,0,0,0,0,2636,3154,Brass League I,2528,7,90696,0,0,0,153,2165,843
GOWDA,member,13,162,12,2118,1,328648118,359903927,3102,8,7092,532,2352,657,400,4462,2087,2697232,15,1115,506,409,213900820,164,128,0,7,1,546,2381,2,1,3925,0,148,0,42510,5,60,0,0,0,227900,235905,0,0,0,0,2381,3102,Brass League II,2239,7,235905,0,0,0,140,2116,409
Scar,member,12,150,11,588,1,349111898,355387048,2314,6,12148,668,2940,859,19,271,2629,2489118,11,1047,345,7,86097147,64,10,0,7,1,1519,2633,2,1,0,0,0,0,25380,1,0,0,0,0,200140,274024,0,0,0,0,2633,2314,Brass League I,2486,7,274024,0,0,0,102,2084,7
limitless,member,12,146,12,5087,1,642559314,620214120,2690,8,14507,1785,5283,2452,877,14652,3064,3417638,13,996,397,309,132907845,133,158,0,7,1,726,2594,2,1,27475,4,0,0,28790,4,9,0,2,0,354455,429059,0,0,0,0,2594,2690,Brass League I,2594,7,429059,0,0,0,146,1992,309
✖❌LIKITH❌✖,member,12,150,11,2822,1,547027272,571922941,3162,7,15883,1107,5159,1501,107,766,4168,3738465,15,1427,609,355,201242397,222,5,0,7,1,1786,2583,2,1,31095,0,120,0,35700,1,16,0,7,0,167030,183987,0,0,0,0,2583,3162,Brass League I,2467,7,183987,0,0,0,127,1992,355
ani,member,12,38,11,1444,1,241356299,272382159,2658,7,11702,597,2798,772,239,1701,2540,2264165,13,1196,496,173,212202136,111,145,0,8,1,589,2753,2,1,29405,0,71,0,39830,0,3,0,0,0,143015,202200,0,0,0,0,2753,2658,Brass League I,2536,8,202200,0,0,0,125,1956,173
Sumukha bhat,member,12,156,11,1583,1,287993655,324980626,3050,7,16211,742,3603,1030,154,32,3040,2202768,15,1400,646,39,156408438,108,0,0,8,1,1639,2973,2,1,9300,0,0,0,23340,1,9,0,0,0,241675,292435,0,0,0,0,2973,3050,Iron League III,2753,8,292435,0,0,0,116,1853,39
Nandy,member,11,149,10,3494,1,342377635,358386694,2775,6,13267,812,3320,1147,840,14889,2728,1891881,13,723,105,436,107379010,2,363,0,7,1,1144,2439,2,1,10900,0,0,0,21450,0,0,0,0,0,8565,0,0,0,0,0,2439,2775,Brass League II,2278,7,0,0,0,0,128,1459,436
Doc46Darsh,member,11,48,10,722,1,121292842,128947089,1887,6,1638,298,1153,357,55,217,1050,638078,9,302,77,31,59077313,2,17,0,7,1,275,2236,1,1,16250,0,3,0,21250,0,0,0,0,0,311865,359423,0,0,0,0,2236,1887,Copper League II,1873,7,359423,0,0,0,84,1285,31
